stop1_name,stop2_name,Hour,MedianRunTime,CompromiseRunTime,MinMedianTime,Route1Stop,AdjustedHour,Direction,Sort
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,8,39,34.5,30,Bigelow-Hancock,8:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,8,34,28.25,22.5,Hancock-Dana,8:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,8,44,34.5,25,Dana-Trowbridge,8:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,8,38,34,30,Trowbridge-Bow,8:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,8,38,33,28,Bow-Holyoke,8:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,9,,,,,8:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,9,42,36.5,31,Dudley-Ruggles,9:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,9,47,38,29,Ruggles-MelneaCass,9:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,9,42,30.5,19,MelneaCass-Harrison,9:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,9,75.5,59.25,43,Harrison-Randall,9:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,9,94,77.5,61,Randall-Albany,9:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,9,45,34,23,Albany-Harrison,9:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,9,117,86,55,Harrison-Washington,9:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,9,106,87,68,Washington-Tremont,9:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,9,74,48,22,Tremont-Columbus,9:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,9,42,35.5,29,Columbus-MassAveStation,9:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,9,92,53.5,15,MassAveStation-StBotolph,9:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,9,92,69.5,47,StBotolph-Clearway,9:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,9,80,67,54,Clearway-Newbury,9:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,9,88,82.5,77,Newbury-Beacon,9:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,9,192,152,112,Beacon-MassAve,9:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,9,84.5,63.75,43,MassAve-Albany,9:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,9,102,87.5,73,Albany-Sidney,9:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,9,129,99,69,Sidney-Prospect,9:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,9,75,55.5,36,Prospect-Bigelow,9:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,9,38,34,30,Bigelow-Hancock,9:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,9,32,27.25,22.5,Hancock-Dana,9:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,9,41,33,25,Dana-Trowbridge,9:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,9,37,33.5,30,Trowbridge-Bow,9:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,9,38,33,28,Bow-Holyoke,9:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,9,,,,,9:00 AM,Northbound,24
